id,sentiment
411,positive
729,neutral
373,negative
262,positive
177,neutral
560,negative
834,neutral
619,negative
874,positive
336,positive
464,positive
254,negative
618,negative
477,neutral
648,negative
88,negative
87,neutral
462,negative
500,negative
627,positive
979,positive
62,negative
256,positive
292,neutral
40,neutral
803,positive
548,positive
356,negative
675,positive
440,positive
661,neutral
146,neutral
844,negative
963,positive
986,negative
994,negative
971,negative
333,negative
700,positive
726,positive
203,positive
772,negative
415,negative
947,negative
175,neutral
107,neutral
28,neutral
959,neutral
100,neutral
288,positive
667,negative
525,positive
294,negative
16,positive
171,neutral
633,negative
86,negative
818,neutral
371,negative
341,positive
745,neutral
263,positive
163,neutral
584,neutral
646,negative
918,neutral
196,neutral
375,negative
711,negative
721,negative
580,neutral
973,negative
427,neutral
61,neutral
198,positive
399,negative
550,positive
383,positive
59,neutral
742,positive
956,negative
31,negative
82,neutral
779,positive
271,neutral
130,positive
226,negative
731,positive
543,negative
714,negative
587,negative
891,positive
80,neutral
106,neutral
944,positive
538,negative
96,negative
21,positive
314,negative
206,negative
725,negative
368,positive
69,neutral
346,positive
972,negative
600,neutral
185,negative
606,positive
244,negative
74,positive
434,neutral
601,positive
939,positive
910,positive
195,negative
797,neutral
443,positive
682,positive
369,positive
847,positive
370,positive
915,negative
141,positive
429,neutral
296,negative
786,negative
764,positive
273,negative
936,negative
819,neutral
81,neutral
638,neutral
563,neutral
218,negative
813,positive
138,negative
737,positive
3,positive
103,positive
945,positive
617,positive
15,negative
446,neutral
668,negative
989,positive
573,positive
919,neutral
832,positive
76,negative
241,negative
405,positive
304,positive
499,negative
70,negative
866,neutral
445,neutral
695,negative
39,neutral
2,positive
886,positive
758,positive
349,negative
631,positive
843,negative
151,positive
821,positive
435,positive
575,negative
408,negative
135,neutral
613,positive
95,positive
781,positive
517,negative
626,positive
890,neutral
345,negative
822,positive
900,neutral
132,positive
990,negative
836,positive
761,neutral
315,negative
180,negative
251,negative
29,neutral
485,negative
567,neutral
913,positive
996,neutral
920,positive
47,negative
305,negative
508,neutral
877,positive
205,positive
884,negative
970,negative
509,negative
806,positive
792,negative
249,neutral
941,positive
816,positive
46,neutral
708,neutral
864,negative
630,negative
895,negative
463,positive
735,negative
940,positive
690,negative
909,positive
452,negative
347,negative
602,negative
603,positive
235,neutral
390,negative
860,neutral
121,negative
400,positive
771,positive
291,negative
998,positive
770,positive
220,neutral
928,positive
754,negative
183,neutral
583,neutral
276,negative
73,neutral
802,negative
831,negative
423,negative
173,positive
528,neutral
503,negative
756,positive
287,negative
823,negative
223,positive
221,neutral
325,negative
664,neutral
975,negative
598,positive
23,neutral
511,positive
12,negative
33,positive
839,positive
841,neutral
402,negative
512,negative
328,positive
640,positive
295,negative
143,positive
190,positive
923,negative
8,neutral
753,negative
134,positive
738,positive
430,positive
426,negative
718,negative
749,negative
159,positive
654,positive
984,positive
309,negative
422,positive
677,negative
552,positive
5,positive
799,positive
89,positive
275,positive
174,positive
313,negative
591,positive
875,negative
1,positive
828,neutral
691,negative
303,positive
285,negative
49,negative
987,negative
472,positive
9,negative
835,negative
189,negative
810,negative
747,negative
997,positive
795,positive
497,negative
604,negative
688,positive
113,negative
651,neutral
162,negative
958,negative
796,negative
326,neutral
541,negative
728,neutral
222,negative
350,negative
48,neutral
686,negative
439,neutral
991,negative
200,negative
453,negative
693,positive
599,negative
892,positive
164,neutral
459,positive
310,negative
247,neutral
872,positive
10,negative
811,positive
623,positive
827,neutral
522,neutral
34,negative
988,positive
361,negative
744,negative
353,negative
510,negative
178,positive
644,negative
962,negative
815,negative
593,negative
629,negative
320,positive
585,negative
194,negative
115,negative
324,positive
949,neutral
898,negative
128,positive
488,neutral
696,neutral
179,negative
624,positive
588,negative
658,positive
465,neutral
804,negative
278,positive
859,positive
705,negative
657,negative
870,positive
518,positive
468,positive
480,neutral
983,negative
926,positive
531,positive
91,positive
611,negative
535,positive
527,positive
932,positive
321,positive
343,negative
365,neutral
549,negative
625,negative
442,neutral
108,positive
160,negative
367,neutral
723,negative
697,positive
885,negative
674,negative
406,negative
281,positive
79,positive
148,negative
502,positive
268,negative
282,positive
407,negative
768,negative

